#?PETBL/1.0
#?o name="cp21027-ms-2000"
#?o ucm:code_set_alias="cp21027-ms	ms21027	windows21027	windows-21027"
## Source: 2000/08/26  21:00               66,082 c_21027.nls
#?o license="Public Domain"
0x00	U+0000		# <control>
0x01	U+0001		# <control>
0x02	U+0002		# <control>
0x03	U+0003		# <control>
0x04	U+0004		# <control>
0x05	U+0005		# <control>
0x06	U+0006		# <control>
0x07	U+0007		# <control>
0x08	U+0008		# <control>
0x09	U+0009		# <control>
0x0A	U+000A		# <control>
0x0B	U+000B		# <control>
0x0C	U+000C		# <control>
0x0D	U+000D		# <control>
0x0E	U+000E		# <control>
0x0F	U+000F		# <control>
0x10	U+0010		# <control>
0x11	U+0011		# <control>
0x12	U+0012		# <control>
0x13	U+0013		# <control>
0x14	U+0014		# <control>
0x15	U+0015		# <control>
0x16	U+0016		# <control>
0x17	U+0017		# <control>
0x18	U+0018		# <control>
0x19	U+0019		# <control>
0x1A	U+001A		# <control>
0x1B	U+001B		# <control>
0x1C	U+001C		# <control>
0x1D	U+001D		# <control>
0x1E	U+001E		# <control>
0x1F	U+001F		# <control>
0x20	U+F8C4		# <private>
0x21	U+F8C5		# <private>
0x22	U+F8C6		# <private>
0x23	U+F8C7		# <private>
0x24	U+F8C8		# <private>
0x25	U+F8C9		# <private>
0x26	U+F8CA		# <private>
0x27	U+F8CB		# <private>
0x28	U+F8CC		# <private>
0x29	U+F8CD		# <private>
0x2A	U+F8CE		# <private>
0x2B	U+F8CF		# <private>
0x2C	U+F8D0		# <private>
0x2D	U+F8D1		# <private>
0x2E	U+F8D2		# <private>
0x2F	U+F8D3		# <private>
0x30	U+F8D4		# <private>
0x31	U+F8D5		# <private>
0x32	U+F8D6		# <private>
0x33	U+F8D7		# <private>
0x34	U+F8D8		# <private>
0x35	U+F8D9		# <private>
0x36	U+F8DA		# <private>
0x37	U+F8DB		# <private>
0x38	U+F8DC		# <private>
0x39	U+F8DD		# <private>
0x3A	U+F8DE		# <private>
0x3B	U+F8DF		# <private>
0x3C	U+F8E0		# <private>
0x3D	U+F8E1		# <private>
0x3F	U+F8E2		# <private>
0x40	U+0020		# SPACE
0x42	U+FF61		# HALFWIDTH IDEOGRAPHIC FULL STOP
0x43	U+FF62		# HALFWIDTH LEFT CORNER BRACKET
0x44	U+FF63		# HALFWIDTH RIGHT CORNER BRACKET
0x45	U+FF64		# HALFWIDTH IDEOGRAPHIC COMMA
0x46	U+FF65		# HALFWIDTH KATAKANA MIDDLE DOT
0x47	U+FF66		# HALFWIDTH KATAKANA LETTER WO
0x48	U+FF67		# HALFWIDTH KATAKANA LETTER SMALL A
0x49	U+FF68		# HALFWIDTH KATAKANA LETTER SMALL I
0x4A	U+00A2		# CENT SIGN
0x4B	U+002E		# FULL STOP
0x4C	U+003C		# LESS-THAN SIGN
0x4D	U+0028		# LEFT PARENTHESIS
0x4E	U+002B		# PLUS SIGN
0x4F	U+007C		# VERTICAL LINE
0x50	U+0026		# AMPERSAND
