#?PETBL/1.0
## name ISO-IR 165 (GL encoding)
#?o table-name="iso_ir_165"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="E"
0x2121	U+3000		# IDEOGRAPHIC SPACE
0x2122	U+3001		# IDEOGRAPHIC COMMA
0x2123	U+3002		# IDEOGRAPHIC FULL STOP
0x2124	U+00B7		# MIDDLE DOT
0x2125	U+02C9		# MODIFIER LETTER MACRON
0x2126	U+02C7		# CARON
0x2127	U+00A8		# DIAERESIS
0x2128	U+3003		# DITTO MARK
0x2129	U+3005		# IDEOGRAPHIC ITERATION MARK
0x212A	U+2014		# EM DASH
0x212B	U+FF5E		# FULLWIDTH TILDE
0x212C	U+2016		# DOUBLE VERTICAL LINE
0x212D	U+2026		# HORIZONTAL ELLIPSIS
0x212E	U+2018		# LEFT SINGLE QUOTATION MARK
0x212F	U+2019		# RIGHT SINGLE QUOTATION MARK
0x2130	U+201C		# LEFT DOUBLE QUOTATION MARK
0x2131	U+201D		# RIGHT DOUBLE QUOTATION MARK
0x2132	U+3014		# LEFT TORTOISE SHELL BRACKET
0x2133	U+3015		# RIGHT TORTOISE SHELL BRACKET
0x2134	U+3008		# LEFT ANGLE BRACKET
0x2135	U+3009		# RIGHT ANGLE BRACKET
0x2136	U+300A		# LEFT DOUBLE ANGLE BRACKET
0x2137	U+300B		# RIGHT DOUBLE ANGLE BRACKET
0x2138	U+300C		# LEFT CORNER BRACKET
0x2139	U+300D		# RIGHT CORNER BRACKET
0x213A	U+300E		# LEFT WHITE CORNER BRACKET
0x213B	U+300F		# RIGHT WHITE CORNER BRACKET
0x213C	U+3016		# LEFT WHITE LENTICULAR BRACKET
0x213D	U+3017		# RIGHT WHITE LENTICULAR BRACKET
0x213E	U+3010		# LEFT BLACK LENTICULAR BRACKET
0x213F	U+3011		# RIGHT BLACK LENTICULAR BRACKET
0x2140	U+00B1		# PLUS-MINUS SIGN
0x2141	U+00D7		# MULTIPLICATION SIGN
0x2142	U+00F7		# DIVISION SIGN
0x2143	U+2236		# RATIO
0x2144	U+2227		# LOGICAL AND
0x2145	U+2228		# LOGICAL OR
0x2146	U+2211		# N-ARY SUMMATION
0x2147	U+220F		# N-ARY PRODUCT
0x2148	U+222A		# UNION
0x2149	U+2229		# INTERSECTION
0x214A	U+2208		# ELEMENT OF
0x214B	U+2237		# PROPORTION
0x214C	U+221A		# SQUARE ROOT
0x214D	U+22A5		# UP TACK
0x214E	U+2225		# PARALLEL TO
0x214F	U+2220		# ANGLE
0x2150	U+2312		# ARC
0x2151	U+2299		# CIRCLED DOT OPERATOR
0x2152	U+222B		# INTEGRAL
0x2153	U+222E		# CONTOUR INTEGRAL
0x2154	U+2261		# IDENTICAL TO
0x2155	U+224C		# ALL EQUAL TO
0x2156	U+2248		# ALMOST EQUAL TO
0x2157	U+223D		# REVERSED TILDE
0x2158	U+221D		# PROPORTIONAL TO
0x2159	U+2260		# NOT EQUAL TO
0x215A	U+226E		# NOT LESS-THAN
0x215B	U+226F		# NOT GREATER-THAN
0x215C	U+2264		# LESS-THAN OR EQUAL TO
0x215D	U+2265		# GREATER-THAN OR EQUAL TO
0x215E	U+221E		# INFINITY
0x215F	U+2235		# BECAUSE
0x2160	U+2234		# THEREFORE
0x2161	U+2642		# MALE SIGN
0x2162	U+2640		# FEMALE SIGN
0x2163	U+00B0		# DEGREE SIGN
0x2164	U+2032		# PRIME
0x2165	U+2033		# DOUBLE PRIME
0x2166	U+2103		# DEGREE CELSIUS
0x2167	U+FF04		# FULLWIDTH DOLLAR SIGN
0x2168	U+00A4		# CURRENCY SIGN
0x2169	U+FFE0		# FULLWIDTH CENT SIGN
0x216A	U+FFE1		# FULLWIDTH POUND SIGN
0x216B	U+2030		# PER MILLE SIGN
0x216C	U+00A7		# SECTION SIGN
0x216D	U+2116		# NUMERO SIGN
0x216E	U+2606		# WHITE STAR
0x216F	U+2605		# BLACK STAR
0x2170	U+25CB		# WHITE CIRCLE
0x2171	U+25CF		# BLACK CIRCLE
0x2172	U+25CE		# BULLSEYE
0x2173	U+25C7		# WHITE DIAMOND
0x2174	U+25C6		# BLACK DIAMOND
0x2175	U+25A1		# WHITE SQUARE
0x2176	U+25A0		# BLACK SQUARE
0x2177	U+25B3		# WHITE UP-POINTING TRIANGLE
0x2178	U+25B2		# BLACK UP-POINTING TRIANGLE
0x2179	U+203B		# REFERENCE MARK
0x217A	U+2192		# RIGHTWARDS ARROW
0x217B	U+2190		# LEFTWARDS ARROW
0x217C	U+2191		# UPWARDS ARROW
0x217D	U+2193		# DOWNWARDS ARROW
0x217E	U+3013		# GETA MARK
0x2231	U+2488		# DIGIT ONE FULL STOP
0x2232	U+2489		# DIGIT TWO FULL STOP
0x2233	U+248A		# DIGIT THREE FULL STOP
0x2234	U+248B		# DIGIT FOUR FULL STOP
0x2235	U+248C		# DIGIT FIVE FULL STOP
0x2236	U+248D		# DIGIT SIX FULL STOP
0x2237	U+248E		# DIGIT SEVEN FULL STOP
0x2238	U+248F		# DIGIT EIGHT FULL STOP
0x2239	U+2490		# DIGIT NINE FULL STOP
0x223A	U+2491		# NUMBER TEN FULL STOP
0x223B	U+2492		# NUMBER ELEVEN FULL STOP
0x223C	U+2493		# NUMBER TWELVE FULL STOP
0x223D	U+2494		# NUMBER THIRTEEN FULL STOP
0x223E	U+2495		# NUMBER FOURTEEN FULL STOP
0x223F	U+2496		# NUMBER FIFTEEN FULL STOP
0x2240	U+2497		# NUMBER SIXTEEN FULL STOP
0x2241	U+2498		# NUMBER SEVENTEEN FULL STOP
0x2242	U+2499		# NUMBER EIGHTEEN FULL STOP
0x2243	U+249A		# NUMBER NINETEEN FULL STOP
0x2244	U+249B		# NUMBER TWENTY FULL STOP
0x2245	U+2474		# PARENTHESIZED DIGIT ONE
0x2246	U+2475		# PARENTHESIZED DIGIT TWO
0x2247	U+2476		# PARENTHESIZED DIGIT THREE
0x2248	U+2477		# PARENTHESIZED DIGIT FOUR
0x2249	U+2478		# PARENTHESIZED DIGIT FIVE
0x224A	U+2479		# PARENTHESIZED DIGIT SIX
0x224B	U+247A		# PARENTHESIZED DIGIT SEVEN
0x224C	U+247B		# PARENTHESIZED DIGIT EIGHT
0x224D	U+247C		# PARENTHESIZED DIGIT NINE
0x224E	U+247D		# PARENTHESIZED NUMBER TEN
0x224F	U+247E		# PARENTHESIZED NUMBER ELEVEN
0x2250	U+247F		# PARENTHESIZED NUMBER TWELVE
0x2251	U+2480		# PARENTHESIZED NUMBER THIRTEEN
0x2252	U+2481		# PARENTHESIZED NUMBER FOURTEEN
0x2253	U+2482		# PARENTHESIZED NUMBER FIFTEEN
0x2254	U+2483		# PARENTHESIZED NUMBER SIXTEEN
0x2255	U+2484		# PARENTHESIZED NUMBER SEVENTEEN
0x2256	U+2485		# PARENTHESIZED NUMBER EIGHTEEN
0x2257	U+2486		# PARENTHESIZED NUMBER NINETEEN
0x2258	U+2487		# PARENTHESIZED NUMBER TWENTY
0x2259	U+2460		# CIRCLED DIGIT ONE
0x225A	U+2461		# CIRCLED DIGIT TWO
0x225B	U+2462		# CIRCLED DIGIT THREE
0x225C	U+2463		# CIRCLED DIGIT FOUR
0x225D	U+2464		# CIRCLED DIGIT FIVE
0x225E	U+2465		# CIRCLED DIGIT SIX
0x225F	U+2466		# CIRCLED DIGIT SEVEN
0x2260	U+2467		# CIRCLED DIGIT EIGHT
0x2261	U+2468		# CIRCLED DIGIT NINE
0x2262	U+2469		# CIRCLED NUMBER TEN
0x2265	U+3220		# PARENTHESIZED IDEOGRAPH ONE
0x2266	U+3221		# PARENTHESIZED IDEOGRAPH TWO
0x2267	U+3222		# PARENTHESIZED IDEOGRAPH THREE
0x2268	U+3223		# PARENTHESIZED IDEOGRAPH FOUR
0x2269	U+3224		# PARENTHESIZED IDEOGRAPH FIVE
0x226A	U+3225		# PARENTHESIZED IDEOGRAPH SIX
0x226B	U+3226		# PARENTHESIZED IDEOGRAPH SEVEN
0x226C	U+3227		# PARENTHESIZED IDEOGRAPH EIGHT
0x226D	U+3228		# PARENTHESIZED IDEOGRAPH NINE
0x226E	U+3229		# PARENTHESIZED IDEOGRAPH TEN
0x2271	U+2160		# ROMAN NUMERAL ONE
