#?PETBL/1.0
#?o full-name="ISO/IEC 8859-5 right half (GL encoding)"
#?o table-name="isoiec8859_5"
#?o charset-chars="96"
#?o charset-dimension="1"
#?o charset-final-byte="L"
0x20	U+00A0		# NO-BREAK SPACE
0x21	U+0401		# CYRILLIC CAPITAL LETTER IO
0x22	U+0402		# CYRILLIC CAPITAL LETTER DJE
0x23	U+0403		# CYRILLIC CAPITAL LETTER GJE
0x24	U+0404		# CYRILLIC CAPITAL LETTER UKRAINIAN IE
0x25	U+0405		# CYRILLIC CAPITAL LETTER DZE
0x26	U+0406		# CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0x27	U+0407		# CYRILLIC CAPITAL LETTER YI
0x28	U+0408		# CYRILLIC CAPITAL LETTER JE
0x29	U+0409		# CYRILLIC CAPITAL LETTER LJE
0x2A	U+040A		# CYRILLIC CAPITAL LETTER NJE
0x2B	U+040B		# CYRILLIC CAPITAL LETTER TSHE
0x2C	U+040C		# CYRILLIC CAPITAL LETTER KJE
0x2D	U+00AD		# SOFT HYPHEN
0x2E	U+040E		# CYRILLIC CAPITAL LETTER SHORT U
0x2F	U+040F		# CYRILLIC CAPITAL LETTER DZHE
0x30	U+0410		# CYRILLIC CAPITAL LETTER A
0x31	U+0411		# CYRILLIC CAPITAL LETTER BE
0x32	U+0412		# CYRILLIC CAPITAL LETTER VE
0x33	U+0413		# CYRILLIC CAPITAL LETTER GHE
0x34	U+0414		# CYRILLIC CAPITAL LETTER DE
0x35	U+0415		# CYRILLIC CAPITAL LETTER IE
0x36	U+0416		# CYRILLIC CAPITAL LETTER ZHE
0x37	U+0417		# CYRILLIC CAPITAL LETTER ZE
0x38	U+0418		# CYRILLIC CAPITAL LETTER I
0x39	U+0419		# CYRILLIC CAPITAL LETTER SHORT I
0x3A	U+041A		# CYRILLIC CAPITAL LETTER KA
0x3B	U+041B		# CYRILLIC CAPITAL LETTER EL
0x3C	U+041C		# CYRILLIC CAPITAL LETTER EM
0x3D	U+041D		# CYRILLIC CAPITAL LETTER EN
0x3E	U+041E		# CYRILLIC CAPITAL LETTER O
0x3F	U+041F		# CYRILLIC CAPITAL LETTER PE
0x40	U+0420		# CYRILLIC CAPITAL LETTER ER
0x41	U+0421		# CYRILLIC CAPITAL LETTER ES
0x42	U+0422		# CYRILLIC CAPITAL LETTER TE
0x43	U+0423		# CYRILLIC CAPITAL LETTER U
0x44	U+0424		# CYRILLIC CAPITAL LETTER EF
0x45	U+0425		# CYRILLIC CAPITAL LETTER HA
0x46	U+0426		# CYRILLIC CAPITAL LETTER TSE
0x47	U+0427		# CYRILLIC CAPITAL LETTER CHE
0x48	U+0428		# CYRILLIC CAPITAL LETTER SHA
0x49	U+0429		# CYRILLIC CAPITAL LETTER SHCHA
0x4A	U+042A		# CYRILLIC CAPITAL LETTER HARD SIGN
0x4B	U+042B		# CYRILLIC CAPITAL LETTER YERU
0x4C	U+042C		# CYRILLIC CAPITAL LETTER SOFT SIGN
0x4D	U+042D		# CYRILLIC CAPITAL LETTER E
0x4E	U+042E		# CYRILLIC CAPITAL LETTER YU
0x4F	U+042F		# CYRILLIC CAPITAL LETTER YA
