#?PETBL/1.0
## name	JIS X 0208-1983 (used with ISO/IEC 646:1991 IRV) (GL encoding)
#?o table-name="jisx0208_1983_irv"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="B"
0x2121	U+3000		# IDEOGRAPHIC SPACE
0x2122	U+3001		# IDEOGRAPHIC COMMA
0x2123	U+3002		# IDEOGRAPHIC FULL STOP
0x2124	U+FF0C		# FULLWIDTH COMMA
0x2125	U+FF0E		# FULLWIDTH FULL STOP
0x2126	U+30FB		# KATAKANA MIDDLE DOT
0x2127	U+FF1A		# FULLWIDTH COLON
0x2128	U+FF1B		# FULLWIDTH SEMICOLON
0x2129	U+FF1F		# FULLWIDTH QUESTION MARK
0x212A	U+FF01		# FULLWIDTH EXCLAMATION MARK
0x212B	U+309B		# KATAKANA-HIRAGANA VOICED SOUND MARK
0x212C	U+309C		# KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0x212D	U+00B4		# ACUTE ACCENT
0x212E	U+FF40		# FULLWIDTH GRAVE ACCENT
0x212F	U+00A8		# DIAERESIS
0x2130	U+FF3E		# FULLWIDTH CIRCUMFLEX ACCENT
0x2131	U+203E		# OVERLINE
0x2132	U+FF3F		# FULLWIDTH LOW LINE
0x2133	U+30FD		# KATAKANA ITERATION MARK
0x2134	U+30FE		# KATAKANA VOICED ITERATION MARK
0x2135	U+309D		# HIRAGANA ITERATION MARK
0x2136	U+309E		# HIRAGANA VOICED ITERATION MARK
0x2137	U+3003		# DITTO MARK
0x2138	U+4EDD		# <cjk>
0x2139	U+3005		# IDEOGRAPHIC ITERATION MARK
0x213A	U+3006		# IDEOGRAPHIC CLOSING MARK
0x213B	U+3007		# IDEOGRAPHIC NUMBER ZERO
0x213C	U+30FC		# KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x213D	U+2014		# EM DASH
0x213E	U+2010		# HYPHEN
0x213F	U+FF0F		# FULLWIDTH SOLIDUS
0x2140	U+FF3C		# FULLWIDTH REVERSE SOLIDUS
0x2141	U+301C		# WAVE DASH
0x2142	U+2016		# DOUBLE VERTICAL LINE
0x2143	U+FF5C		# FULLWIDTH VERTICAL LINE
0x2144	U+2026		# HORIZONTAL ELLIPSIS
0x2145	U+2025		# TWO DOT LEADER
0x2146	U+2018		# LEFT SINGLE QUOTATION MARK
0x2147	U+2019		# RIGHT SINGLE QUOTATION MARK
0x2148	U+201C		# LEFT DOUBLE QUOTATION MARK
0x2149	U+201D		# RIGHT DOUBLE QUOTATION MARK
0x214A	U+FF08		# FULLWIDTH LEFT PARENTHESIS
0x214B	U+FF09		# FULLWIDTH RIGHT PARENTHESIS
0x214C	U+3014		# LEFT TORTOISE SHELL BRACKET
0x214D	U+3015		# RIGHT TORTOISE SHELL BRACKET
0x214E	U+FF3B		# FULLWIDTH LEFT SQUARE BRACKET
0x214F	U+FF3D		# FULLWIDTH RIGHT SQUARE BRACKET
0x2150	U+FF5B		# FULLWIDTH LEFT CURLY BRACKET
0x2151	U+FF5D		# FULLWIDTH RIGHT CURLY BRACKET
0x2152	U+3008		# LEFT ANGLE BRACKET
0x2153	U+3009		# RIGHT ANGLE BRACKET
0x2154	U+300A		# LEFT DOUBLE ANGLE BRACKET
0x2155	U+300B		# RIGHT DOUBLE ANGLE BRACKET
0x2156	U+300C		# LEFT CORNER BRACKET
0x2157	U+300D		# RIGHT CORNER BRACKET
0x2158	U+300E		# LEFT WHITE CORNER BRACKET
0x2159	U+300F		# RIGHT WHITE CORNER BRACKET
0x215A	U+3010		# LEFT BLACK LENTICULAR BRACKET
0x215B	U+3011		# RIGHT BLACK LENTICULAR BRACKET
0x215C	U+FF0B		# FULLWIDTH PLUS SIGN
0x215D	U+2212		# MINUS SIGN
0x215E	U+00B1		# PLUS-MINUS SIGN
0x215F	U+00D7		# MULTIPLICATION SIGN
0x2160	U+00F7		# DIVISION SIGN
0x2161	U+FF1D		# FULLWIDTH EQUALS SIGN
0x2162	U+2260		# NOT EQUAL TO
0x2163	U+FF1C		# FULLWIDTH LESS-THAN SIGN
0x2164	U+FF1E		# FULLWIDTH GREATER-THAN SIGN
0x2165	U+2266		# LESS-THAN OVER EQUAL TO
0x2166	U+2267		# GREATER-THAN OVER EQUAL TO
0x2167	U+221E		# INFINITY
0x2168	U+2234		# THEREFORE
0x2169	U+2642		# MALE SIGN
0x216A	U+2640		# FEMALE SIGN
0x216B	U+00B0		# DEGREE SIGN
0x216C	U+2032		# PRIME
0x216D	U+2033		# DOUBLE PRIME
0x216E	U+2103		# DEGREE CELSIUS
0x216F	U+00A5		# YEN SIGN
0x2170	U+FF04		# FULLWIDTH DOLLAR SIGN
0x2171	U+00A2		# CENT SIGN
0x2172	U+00A3		# POUND SIGN
0x2173	U+FF05		# FULLWIDTH PERCENT SIGN
0x2174	U+FF03		# FULLWIDTH NUMBER SIGN
0x2175	U+FF06		# FULLWIDTH AMPERSAND
0x2176	U+FF0A		# FULLWIDTH ASTERISK
0x2177	U+FF20		# FULLWIDTH COMMERCIAL AT
0x2178	U+00A7		# SECTION SIGN
0x2179	U+2606		# WHITE STAR
0x217A	U+2605		# BLACK STAR
0x217B	U+25CB		# WHITE CIRCLE
0x217C	U+25CF		# BLACK CIRCLE
0x217D	U+25CE		# BULLSEYE
0x217E	U+25C7		# WHITE DIAMOND
0x2221	U+25C6		# BLACK DIAMOND
0x2222	U+25A1		# WHITE SQUARE
0x2223	U+25A0		# BLACK SQUARE
0x2224	U+25B3		# WHITE UP-POINTING TRIANGLE
0x2225	U+25B2		# BLACK UP-POINTING TRIANGLE
0x2226	U+25BD		# WHITE DOWN-POINTING TRIANGLE
0x2227	U+25BC		# BLACK DOWN-POINTING TRIANGLE
0x2228	U+203B		# REFERENCE MARK
0x2229	U+3012		# POSTAL MARK
0x222A	U+2192		# RIGHTWARDS ARROW
0x222B	U+2190		# LEFTWARDS ARROW
0x222C	U+2191		# UPWARDS ARROW
0x222D	U+2193		# DOWNWARDS ARROW
0x222E	U+3013		# GETA MARK
0x223A	U+2208		# ELEMENT OF
0x223B	U+220B		# CONTAINS AS MEMBER
0x223C	U+2286		# SUBSET OF OR EQUAL TO
0x223D	U+2287		# SUPERSET OF OR EQUAL TO
0x223E	U+2282		# SUBSET OF
0x223F	U+2283		# SUPERSET OF
0x2240	U+222A		# UNION
0x2241	U+2229		# INTERSECTION
0x224A	U+2227		# LOGICAL AND
0x224B	U+2228		# LOGICAL OR
0x224C	U+00AC		# NOT SIGN
0x224D	U+21D2		# RIGHTWARDS DOUBLE ARROW
0x224E	U+21D4		# LEFT RIGHT DOUBLE ARROW
0x224F	U+2200		# FOR ALL
0x2250	U+2203		# THERE EXISTS
0x225C	U+2220		# ANGLE
0x225D	U+22A5		# UP TACK
0x225E	U+2312		# ARC
0x225F	U+2202		# PARTIAL DIFFERENTIAL
0x2260	U+2207		# NABLA
0x2261	U+2261		# IDENTICAL TO
0x2262	U+2252		# APPROXIMATELY EQUAL TO OR THE IMAGE OF
0x2263	U+226A		# MUCH LESS-THAN
0x2264	U+226B		# MUCH GREATER-THAN
0x2265	U+221A		# SQUARE ROOT
0x2266	U+223D		# REVERSED TILDE
0x2267	U+221D		# PROPORTIONAL TO
0x2268	U+2235		# BECAUSE
0x2269	U+222B		# INTEGRAL
0x226A	U+222C		# DOUBLE INTEGRAL
0x2272	U+212B		# ANGSTROM SIGN
0x2273	U+2030		# PER MILLE SIGN
0x2274	U+266F		# MUSIC SHARP SIGN
0x2275	U+266D		# MUSIC FLAT SIGN
0x2276	U+266A		# EIGHTH NOTE
0x2277	U+2020		# DAGGER
0x2278	U+2021		# DOUBLE DAGGER
0x2279	U+00B6		# PILCROW SIGN
0x227E	U+20DD		# COMBINING ENCLOSING CIRCLE
0x2330	U+FF10		# FULLWIDTH DIGIT ZERO
0x2331	U+FF11		# FULLWIDTH DIGIT ONE
0x2332	U+FF12		# FULLWIDTH DIGIT TWO
0x2333	U+FF13		# FULLWIDTH DIGIT THREE
0x2334	U+FF14		# FULLWIDTH DIGIT FOUR
0x2335	U+FF15		# FULLWIDTH DIGIT FIVE
0x2336	U+FF16		# FULLWIDTH DIGIT SIX
0x2337	U+FF17		# FULLWIDTH DIGIT SEVEN
