#?PETBL/1.0
## name KS X 1001-1992 (GL encoding)
#?o table-name="ksx1001_1992"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="C"
0x2121	U+3000		# IDEOGRAPHIC SPACE
0x2122			# <control>
0x2123			# <control>
0x2124	U+00B7		# MIDDLE DOT
0x2125	U+2025		# TWO DOT LEADER
0x2126	U+22EF		# MIDLINE HORIZONTAL ELLIPSIS
0x2127	U+00A8		# DIAERESIS
0x2128	U+3003		# DITTO MARK
0x2129	U+2010		# HYPHEN
0x212A	U+2014		# EM DASH
0x212B	U+2016		# DOUBLE VERTICAL LINE
0x212C	U+005C		# REVERSE SOLIDUS
0x212D	U+301C		# WAVE DASH
0x212E	U+2018		# LEFT SINGLE QUOTATION MARK
0x212F	U+2019		# RIGHT SINGLE QUOTATION MARK
0x2130	U+201C		# LEFT DOUBLE QUOTATION MARK
0x2131	U+201D		# RIGHT DOUBLE QUOTATION MARK
0x2132	U+3014		# LEFT TORTOISE SHELL BRACKET
0x2133	U+3015		# RIGHT TORTOISE SHELL BRACKET
0x2134	U+3008		# LEFT ANGLE BRACKET
0x2135	U+3009		# RIGHT ANGLE BRACKET
0x2136	U+300A		# LEFT DOUBLE ANGLE BRACKET
0x2137	U+300B		# RIGHT DOUBLE ANGLE BRACKET
0x2138	U+300C		# LEFT CORNER BRACKET
0x2139	U+300D		# RIGHT CORNER BRACKET
0x213A	U+300E		# LEFT WHITE CORNER BRACKET
0x213B	U+300F		# RIGHT WHITE CORNER BRACKET
0x213C	U+3010		# LEFT BLACK LENTICULAR BRACKET
0x213D	U+3011		# RIGHT BLACK LENTICULAR BRACKET
0x213E	U+00B1		# PLUS-MINUS SIGN
0x213F	U+00D7		# MULTIPLICATION SIGN
0x2140	U+00F7		# DIVISION SIGN
0x2141	U+2260		# NOT EQUAL TO
0x2142	U+2264		# LESS-THAN OR EQUAL TO
0x2143	U+2265		# GREATER-THAN OR EQUAL TO
0x2144	U+221E		# INFINITY
0x2145	U+2234		# THEREFORE
0x2146	U+00B0		# DEGREE SIGN
0x2147	U+2032		# PRIME
0x2148	U+2033		# DOUBLE PRIME
0x2149	U+2103		# DEGREE CELSIUS
0x214A	U+212B		# ANGSTROM SIGN
0x214B	U+00A2		# CENT SIGN
0x214C	U+00A3		# POUND SIGN
0x214D	U+00A5		# YEN SIGN
0x214E	U+2642		# MALE SIGN
0x214F	U+2640		# FEMALE SIGN
0x2150	U+2220		# ANGLE
0x2151	U+22A5		# UP TACK
0x2152	U+2312		# ARC
0x2153	U+2202		# PARTIAL DIFFERENTIAL
0x2154	U+2207		# NABLA
0x2155	U+2261		# IDENTICAL TO
0x2156	U+2252		# APPROXIMATELY EQUAL TO OR THE IMAGE OF
0x2157	U+00A7		# SECTION SIGN
0x2158	U+203B		# REFERENCE MARK
0x2159	U+2606		# WHITE STAR
0x215A	U+2605		# BLACK STAR
0x215B	U+25CB		# WHITE CIRCLE
0x215C	U+25CF		# BLACK CIRCLE
0x215D	U+25CE		# BULLSEYE
0x215E	U+25C7		# WHITE DIAMOND
0x215F	U+25C6		# BLACK DIAMOND
0x2160	U+25A1		# WHITE SQUARE
0x2161	U+25A0		# BLACK SQUARE
0x2162	U+25B3		# WHITE UP-POINTING TRIANGLE
0x2163	U+25B2		# BLACK UP-POINTING TRIANGLE
0x2164	U+25BD		# WHITE DOWN-POINTING TRIANGLE
0x2165	U+25BC		# BLACK DOWN-POINTING TRIANGLE
0x2166	U+2192		# RIGHTWARDS ARROW
0x2167	U+2190		# LEFTWARDS ARROW
0x2168	U+2191		# UPWARDS ARROW
0x2169	U+2193		# DOWNWARDS ARROW
0x216A	U+2194		# LEFT RIGHT ARROW
0x216B	U+3013		# GETA MARK
0x216C	U+226A		# MUCH LESS-THAN
0x216D	U+226B		# MUCH GREATER-THAN
0x216E	U+221A		# SQUARE ROOT
0x216F	U+223D		# REVERSED TILDE
0x2170	U+221D		# PROPORTIONAL TO
0x2171	U+2235		# BECAUSE
0x2172	U+222B		# INTEGRAL
0x2173	U+222C		# DOUBLE INTEGRAL
0x2174	U+2208		# ELEMENT OF
0x2175	U+220B		# CONTAINS AS MEMBER
0x2176	U+2286		# SUBSET OF OR EQUAL TO
0x2177	U+2287		# SUPERSET OF OR EQUAL TO
0x2178	U+2282		# SUBSET OF
0x2179	U+2283		# SUPERSET OF
0x217A	U+222A		# UNION
0x217B	U+2229		# INTERSECTION
0x217C	U+2227		# LOGICAL AND
0x217D	U+2228		# LOGICAL OR
0x217E	U+00AC		# NOT SIGN
0x2221	U+21D2		# RIGHTWARDS DOUBLE ARROW
0x2222	U+21D4		# LEFT RIGHT DOUBLE ARROW
0x2223	U+2200		# FOR ALL
0x2224	U+2203		# THERE EXISTS
0x2225	U+00B4		# ACUTE ACCENT
0x2226	U+007E		# TILDE
0x2227	U+02C7		# CARON
0x2228	U+02D8		# BREVE
0x2229	U+02DD		# DOUBLE ACUTE ACCENT
0x222A	U+02DA		# RING ABOVE
0x222B	U+02D9		# DOT ABOVE
0x222C	U+00B8		# CEDILLA
0x222D	U+02DB		# OGONEK
0x222E	U+00A1		# INVERTED EXCLAMATION MARK
0x222F	U+00BF		# INVERTED QUESTION MARK
0x2230	U+02D0		# MODIFIER LETTER TRIANGULAR COLON
0x2231	U+222E		# CONTOUR INTEGRAL
0x2232	U+2211		# N-ARY SUMMATION
0x2233	U+220F		# N-ARY PRODUCT
0x2234	U+00A4		# CURRENCY SIGN
0x2235	U+2109		# DEGREE FAHRENHEIT
0x2236	U+2030		# PER MILLE SIGN
0x2237	U+25C1		# WHITE LEFT-POINTING TRIANGLE
0x2238	U+25C0		# BLACK LEFT-POINTING TRIANGLE
0x2239	U+25B7		# WHITE RIGHT-POINTING TRIANGLE
0x223A	U+25B6		# BLACK RIGHT-POINTING TRIANGLE
0x223B	U+2664		# WHITE SPADE SUIT
0x223C	U+2660		# BLACK SPADE SUIT
0x223D	U+2661		# WHITE HEART SUIT
0x223E	U+2665		# BLACK HEART SUIT
0x223F	U+2667		# WHITE CLUB SUIT
0x2240	U+2663		# BLACK CLUB SUIT
0x2241	U+2299		# CIRCLED DOT OPERATOR
0x2242	U+25C8		# WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
0x2243	U+25A3		# WHITE SQUARE CONTAINING BLACK SMALL SQUARE
0x2244	U+25D0		# CIRCLE WITH LEFT HALF BLACK
0x2245	U+25D1		# CIRCLE WITH RIGHT HALF BLACK
0x2246	U+2592		# MEDIUM SHADE
0x2247	U+25A4		# SQUARE WITH HORIZONTAL FILL
0x2248	U+25A5		# SQUARE WITH VERTICAL FILL
0x2249	U+25A8		# SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
0x224A	U+25A7		# SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
0x224B	U+25A6		# SQUARE WITH ORTHOGONAL CROSSHATCH FILL
0x224C	U+25A9		# SQUARE WITH DIAGONAL CROSSHATCH FILL
0x224D	U+2668		# HOT SPRINGS
0x224E	U+260F		# WHITE TELEPHONE
0x224F	U+260E		# BLACK TELEPHONE
0x2250	U+261C		# WHITE LEFT POINTING INDEX
0x2251	U+261E		# WHITE RIGHT POINTING INDEX
0x2252	U+00B6		# PILCROW SIGN
0x2253	U+2020		# DAGGER
0x2254	U+2021		# DOUBLE DAGGER
0x2255	U+2195		# UP DOWN ARROW
0x2256	U+2197		# NORTH EAST ARROW
0x2257	U+2199		# SOUTH WEST ARROW
0x2258	U+2196		# NORTH WEST ARROW
0x2259	U+2198		# SOUTH EAST ARROW
0x225A	U+266D		# MUSIC FLAT SIGN
0x225B	U+2669		# QUARTER NOTE
0x225C	U+266A		# EIGHTH NOTE
0x225D	U+266C		# BEAMED SIXTEENTH NOTES
0x225E	U+327F		# KOREAN STANDARD SYMBOL
0x225F	U+321C		# PARENTHESIZED HANGUL CIEUC U
0x2260	U+2116		# NUMERO SIGN
0x2261	U+33C7		# SQUARE CO
0x2262	U+2122		# TRADE MARK SIGN
0x2263	U+33C2		# SQUARE AM
0x2264	U+33D8		# SQUARE PM
0x2265	U+2121		# TELEPHONE SIGN
